ID,Specie,NomeProvvisorio,NomeComune,AnnoScoperta,Descrizione
0F5W9M2W7L,Tiburonia granrojo,null,Grande medusa rossa,2003,"Il nome di questa medusa deriva dai suoi colori rossi della campana (granrojo = grande rosso in spagnolo). Presenta una campana di grandi dimensioni, mentre i tentacoli sono più corti e tozzi."
0X4IF7S4JJ,Aurelia cebimarensis,null,null,2021,Medusa trasparente con tentacoli corti e sottili.
2FQKVRDU4A,Ophiojura exbodi,null,Stella marina naso suino,2021,Stella marina di colore arancione con 8 braccia e una bocca simile al naso di un maiale.
2M2QHTF7V3,Bythaelurus naylori,null,Squalo gatto,2003,Squalo di piccole dimensioni con muso schiacciato.
364FIFD9JR,Atolla wyvillei,null,null,1880,Questa specie di medusa presenta una campana rossa e un lungo tentacolo bianco che parte dal centro della campana e si allunga per una decina di centimetri
3SOHQKK57S,Cirrhilabrus finifenmaa,null,Pesce arcobaleno,2022,Pesce di piccole dimensioni con colori sgargianti.
5Y29POQFGS,null,Calamaro stella,null,1992,Questo calamaro mantiene i tantacoli sempre distesi a stella.
6567LBSV3P,Larvacean,null,null,1821,"I larvacei sono tunicati che abitano diverse zone degli oceani di tutto il mondo, per nutrirsi utilizzano una ""barriera"""""""" di muco che filtra le sostanze nutritive."""""""
7F0JSTSGR0,Magnapinna atlantica,null,null,2006,"Questi calamari sono caratterizzati, come gli altri membri del loro genere, da tentacoli molto lunghi, anche fino a 8 metri. Abitano le zone più profonde e oscure degli oceani, ancora non si sa di cosa si nutrono e le loro abitudini."
83SIM574N8,Hexatrygon bickelli,null,Razza esabranchiata,1980,"Questa specie di razza presenta 6 paia di branchie, da cui deriva il suo nome. La testa è allungata e le dimensioni totali possono raggiungere anche 1.7m. Solitamente vivono a stretto contatto con il fondale marino."
89ITJ2O47U,Hippocampus haema,null,Cavalluccio marino nano,2017,Cavalluccio marino di piccole dimensioni.
9IV2TSJ59V,Periclimenaeus karantina,null,null,2021,Gamberetto che vive nelle spugne marine.
A69M3QUS9A,Beroe forskalii,null,Medusa pettine,2004,"Questa specie di ctenoforo di piccole dimensioni presenta un corpo completamente trasparente, fatta eccezione di filamenti ""dentati"""""""" all'interno del corpo"""""""
ACGEAS7P9A,null,Pesce verticale,null,2023,"Questa specie di pesce è nota per la sua abitudine nel rimanere fermo in posizione verticale, con la testa rivolta verso l'alto, nonostante il movimento in acqua è comune a tutti gli altri pesci."
AI4CEQC9PM,null,Medusa quadri-tentacolo,null,2023,Questa medusa di piccole dimensioni presenta 4 sottili tentacoli e una campana trasparente con un anello fluorescente. Utilizza la propulsione causata dal movimento della campana per muoversi.
AW5KPFJ8LD,Periphylla periphylla,null,Medusa elmetto,1810,Questa specie di medusa possiede una campana simile ad un elmo utilizzato nel periodo medievale.
B7V6YL5IBY, Thymopsis nilenta,null,null,1974,Questa specie di crostacei è solita abitare dei buchi scavati nella sabbia e mostra un comportamento aggressivo se ci si avvicina
BP179KUPRQ,Stylobates calcifer,null,null,2022,Questa anemone è solita attaccarsi ai gusci dei granchi eremiti.
C0EK6TITBY,Astrolirus patricki,null,Stella marina Patrick,2020,"Stella marina color rosa-rossa con 5 braccia, il nome deriva dall'omonimo personaggio d'animazione."
D62SHGYXVT,Mola tecta,null,Pesce sole,1990,Pesce a forma di disco molto lento nei movimenti.
DNYUN4MN6Q,Chimaera carophila,null,Squalo fantasma,2015,Squalo di piccole dimensioni con una lunga coda. Si può trovare a profondità elevate.
EAU993XFSA,Deepstaria enigmatica,null,null,1967,"Queste meduse sono solite abitare profondità elevate. Possiedono una larga ma sottile campana trasparente, che può raggiungere anche i 2 metri di larghezza. Non possiedono tentacoli e vivono in solitudine."
EZH5BFUT5O,Lampocteis cruentiventer,null,Ctenoforo dal ventre insanguinato,2001,Questo ctenoforo presenta un colore rosso molto intenso e dei filamenti interni seghettati che vengono talvolta attraversati da particelle bio-luminose sconosciute. Al momento sono l'unica specie conosciuta del loro genere.
