"ID","Tipologia","Dimensioni","GradoPericolo","Descrizione"
"AI3YA","Vulcano sottomarino",1500.0,3.0,"La fessura emette lava in continuazione senza però effettuare violente eruzioni, dovrà essere monitorato costantemente"
"BQGI4","Vulcano sottomarino",800.0,4.0,"Il vulcano si è verificato essere attivo, grandi quantità di lava vengono rilasciate periodicamente senza però eventi violenti. Le città marittime più vicine sono state informate del possibile pericolo di una eruzione violenta ed è stato designato un piano di evacuazione."
"C1AE0","Vulcano sottomarino",1000.0,2.0,"Il vulcano sembra inattivo, ma emana calore elevato, facendo presagire che possa attivarsi in un futuro prossimo, bisognerà monitorare l'attività."
"C7RIN","Grotta sottomarina",100.0,2.0,"La grotta è caratterizzata da stretti tunnel che rendono difficile l'esplorazione. Le pareti e il soffitto della grotta sono composti da rocce porose caratterizzate da buchi con un diametro fino a 10 cm."
"DXS44","Vulcano sottomarino",1000.0,2.0,"Il vulcano sembra essere parzialmente attivo, le emissioni di lava sono incostanti e scarse."
"FOQ3N","Vulcano sottomarino",2800.0,4.0,"Chiamato anche Imperatore della Cina, il vulcano non erutta dal 1927 ed è stato molto attivo in tempi lontani, è necessario monitorarlo costantemente, in quanto un'eruzione potrebbe causare violenti tsunami."
"M8L2Z","Fumarola nera",10.0,0.0,"La fumarola è attiva ed emette fumo costantemente ma non rappresenta un pericolo per l'habitat circostante."
"UQI12","Fumarola nera",5.0,0.0,"La fumarola emette fumo da 3 diversi punti ma è stata dichiarata innocua."
"V4EP8","Vulcano sottomarino",300.0,1.0,"Il vulcano è stato confermato essere inattivo, probabilmente ha esaurito il magma nella camera magmatica. Sarà comunque necessario monitorarlo per controllare eventuali crolli della camera magmatica causati dalla pressione."
"VX2AQ","Grotta sottomarina",300.0,0.0,"La grotta, accessibile dalla superficie, presenta numerose stalattiti sul soffitto. E' caratterizzata da ampie camere rocciose, in alcune di esse le stalattiti e stalagmiti si congiungono creando delle colonne."
"WU2QH","Fumarola nera",3.0,1.0,"La fumarola emette violentemente grandi quantità di fumo."
"XCJ9Y","Grotta sottomarina",500.0,0.0,"La grotta è caratterizzata da numerosi e larghi tunnel che permettono di navigarla con sicurezza. Alcuni tunnel sono piastrellati da rocce trasportate da forti correnti o movimenti geologici."
